,eid,timestamp,lifecycle,resource,activity,material,purchase_requisition,quotation,purchase_order,goods_receipt,invoice_receipt,payment
18,event:45,2022-04-07T00:22:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:2'],['purchase_order:1'],,,
19,event:50,2022-04-07T16:27:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:3'],['purchase_order:8'],,,
20,event:51,2022-04-07T16:51:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:1'],['purchase_order:4'],,,
21,event:52,2022-04-07T17:28:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:0'],['purchase_order:2'],,,
22,event:53,2022-04-07T19:14:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:3'],['purchase_order:7'],,,
23,event:54,2022-04-07T22:35:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:7:pr_trigger_7'],['quotation:5'],,,,
24,event:55,2022-04-08T04:32:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:16', 'material:17', 'material:18']",['purchase_requisition:6:pr_trigger_6'],,,,,
25,event:61,2022-04-08T15:03:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:6:pr_trigger_6'],['quotation:6'],,,,
26,event:62,2022-04-08T22:07:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:0'],['purchase_order:3'],,,
27,event:63,2022-04-09T05:35:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:4'],['purchase_order:6'],,,
28,event:64,2022-04-09T08:41:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:1'],['purchase_order:4'],,,
29,event:65,2022-04-09T11:27:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:4'],['purchase_order:5'],,,
30,event:66,2022-04-09T19:42:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:5'],['purchase_order:9'],,,
31,event:83,2022-04-11T08:52:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:3'],['goods receipt:0'],,
32,event:84,2022-04-11T09:50:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:11:pr_trigger_11'],['quotation:8'],,,,
33,event:87,2022-04-11T11:00:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:3'],['purchase_order:7'],,,
34,event:88,2022-04-11T11:01:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:3'],['goods receipt:1'],,
35,event:89,2022-04-11T11:24:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:6'],['purchase_order:10'],,,
36,event:91,2022-04-11T12:14:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:32', 'material:33']",['purchase_requisition:12:pr_trigger_12'],,,,,
37,event:93,2022-04-11T12:27:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:26', 'material:28', 'material:27']",['purchase_requisition:10:pr_trigger_10'],,,,,
38,event:95,2022-04-11T14:37:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,['material:13'],['purchase_requisition:4:pr_trigger_4'],,,,,
39,event:97,2022-04-11T14:56:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:8'],['purchase_order:12'],,,
40,event:99,2022-04-11T18:02:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:24', 'material:23', 'material:25']",['purchase_requisition:9:pr_trigger_9'],,,,,
41,event:100,2022-04-11T19:13:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:3'],['purchase_order:8'],,,
42,event:101,2022-04-12T01:54:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:8'],['purchase_order:11'],,,
43,event:109,2022-04-12T07:18:00.000Z,complete,Manufacturing Department,Delegate Purchase Requisition Approval,"['material:24', 'material:23', 'material:25']",['purchase_requisition:9:pr_trigger_9'],,,,,
44,event:111,2022-04-12T12:09:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:4'],['purchase_order:6'],,,
45,event:112,2022-04-12T20:15:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:2'],['purchase_order:0'],,,
46,event:113,2022-04-13T05:23:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:2'],['goods receipt:2'],,
47,event:114,2022-04-13T06:51:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:3'],['goods receipt:2'],,
48,event:118,2022-04-13T07:49:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:0'],['invoice receipt:2'],
49,event:120,2022-04-13T07:59:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:0'],['invoice receipt:2'],
50,event:121,2022-04-13T08:10:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:34', 'material:36', 'material:35']",['purchase_requisition:13:pr_trigger_13'],,,,,
51,event:123,2022-04-13T10:52:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:8'],['goods receipt:4'],,
52,event:124,2022-04-13T11:46:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:5'],['purchase_order:9'],,,
53,event:126,2022-04-13T11:47:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:2'],['invoice receipt:2'],
54,event:128,2022-04-13T11:57:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:2'],['invoice receipt:2'],
55,event:130,2022-04-13T12:52:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:37', 'material:39', 'material:38']",['purchase_requisition:14:pr_trigger_14'],,,,,
56,event:132,2022-04-13T14:22:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:4'],['goods receipt:3'],,
57,event:134,2022-04-13T17:13:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:2'],['goods receipt:1'],,
58,event:135,2022-04-14T03:57:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:2'],['goods receipt:0'],,
59,event:136,2022-04-14T06:05:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:8:pr_trigger_8'],['quotation:7'],,,,
60,event:137,2022-04-14T06:35:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:32', 'material:33']",['purchase_requisition:12:pr_trigger_12'],,,,,
61,event:143,2022-04-14T07:40:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:4:pr_trigger_4'],['quotation:9'],,,,
62,event:145,2022-04-14T08:11:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:41'],['purchase_requisition:16:pr_trigger_16'],,,,,
63,event:147,2022-04-15T00:56:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:7'],['purchase_order:13'],,,
64,event:150,2022-04-15T09:30:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:42', 'material:43']",['purchase_requisition:17:pr_trigger_17'],,,,,
65,event:152,2022-04-15T11:11:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:9'],['goods receipt:6'],,
66,event:154,2022-04-15T11:53:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:2'],['purchase_order:1'],,,
67,event:159,2022-04-15T12:00:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:9'],['purchase_order:15'],,,
68,event:161,2022-04-15T13:54:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:3'],['invoice receipt:3'],
69,event:163,2022-04-15T14:04:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:3'],['invoice receipt:3'],
70,event:165,2022-04-15T14:22:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:7'],['goods receipt:4'],,
71,event:166,2022-04-15T17:24:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:1'],['goods receipt:8'],,
72,event:167,2022-04-15T21:31:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:26', 'material:28', 'material:27']",['purchase_requisition:10:pr_trigger_10'],,,,,
73,event:168,2022-04-16T00:29:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:7'],['purchase_order:14'],,,
74,event:169,2022-04-16T00:52:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:7'],['purchase_order:13'],,,
75,event:170,2022-04-16T01:50:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,['material:41'],['purchase_requisition:16:pr_trigger_16'],,,,,
76,event:171,2022-04-16T03:53:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:6'],['invoice receipt:4'],
77,event:172,2022-04-16T09:41:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:6'],['purchase_order:10'],,,
78,event:173,2022-04-16T09:57:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:0'],['goods receipt:7'],,
79,event:174,2022-04-16T10:56:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:4'],['purchase_order:5'],,,
80,event:175,2022-04-16T12:36:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:12:pr_trigger_12'],['quotation:12'],,,,
81,event:176,2022-04-16T15:46:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:4'],['goods receipt:3'],['invoice receipt:3'],['payment:0']
82,event:177,2022-04-16T18:14:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:37', 'material:39', 'material:38']",['purchase_requisition:14:pr_trigger_14'],,,,,
83,event:178,2022-04-16T18:40:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:1'],['invoice receipt:2'],
84,event:179,2022-04-16T21:31:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:9:pr_trigger_9'],['quotation:10'],,,,
85,event:180,2022-04-16T22:54:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:34', 'material:36', 'material:35']",['purchase_requisition:13:pr_trigger_13'],,,,,
86,event:181,2022-04-17T16:54:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:42', 'material:43']",['purchase_requisition:17:pr_trigger_17'],,,,,
87,event:182,2022-04-17T18:01:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:0'],['goods receipt:8'],,
88,event:183,2022-04-18T04:48:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:15:pr_trigger_15'],['quotation:11'],,,,
89,event:208,2022-04-18T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:6'],['invoice receipt:4'],
90,event:209,2022-04-18T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:1'],['invoice receipt:2'],
91,event:212,2022-04-18T10:05:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:2', 'purchase_order:3']","['goods receipt:2', 'goods receipt:0', 'goods receipt:1']",['invoice receipt:2'],['payment:2']
92,event:213,2022-04-18T11:06:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:45', 'material:44']",['purchase_requisition:18:pr_trigger_18'],,,,,
93,event:215,2022-04-18T12:04:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:10'],['goods receipt:10'],,
94,event:216,2022-04-18T14:28:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:47', 'material:48', 'material:46']",['purchase_requisition:19:pr_trigger_19'],,,,,
95,event:218,2022-04-18T15:22:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:8'],['invoice receipt:6'],
96,event:219,2022-04-18T16:51:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:11'],['purchase_order:18'],,,
97,event:220,2022-04-18T17:22:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:9'],['purchase_order:15'],,,
98,event:221,2022-04-18T20:58:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:12'],['purchase_order:16'],,,
99,event:222,2022-04-18T23:16:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:17:pr_trigger_17'],['quotation:17'],,,,
100,event:223,2022-04-19T03:10:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:5'],['goods receipt:11'],,
101,event:224,2022-04-19T04:47:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:7'],['invoice receipt:6'],
102,event:232,2022-04-19T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:8'],['invoice receipt:6'],
103,event:233,2022-04-19T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:7'],['invoice receipt:6'],
104,event:235,2022-04-19T10:11:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:16:pr_trigger_16'],['quotation:14'],,,,
105,event:237,2022-04-19T17:32:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:10'],['purchase_order:17'],,,
106,event:238,2022-04-19T19:44:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:14'],['purchase_order:21'],,,
107,event:239,2022-04-19T20:20:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:10:pr_trigger_10'],['quotation:13'],,,,
108,event:240,2022-04-20T04:04:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:17'],['purchase_order:19'],,,
109,event:247,2022-04-20T13:42:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:5'],['goods receipt:13'],,
110,event:248,2022-04-20T14:08:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:12'],['purchase_order:16'],,,
111,event:251,2022-04-20T18:26:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:8'],['goods receipt:5'],,
112,event:252,2022-04-20T18:43:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:6'],['goods receipt:12'],,
113,event:253,2022-04-20T20:13:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:45', 'material:44']",['purchase_requisition:18:pr_trigger_18'],,,,,
114,event:254,2022-04-20T21:12:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:14'],['purchase_order:21'],,,
115,event:255,2022-04-20T23:39:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:6'],['goods receipt:13'],,
116,event:256,2022-04-21T03:15:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:49'],['purchase_requisition:20:pr_trigger_20'],,,,,
117,event:257,2022-04-21T05:57:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:13'],['purchase_order:22'],,,
118,event:267,2022-04-21T11:15:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:16'],['goods receipt:15'],,
119,event:268,2022-04-21T11:27:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:17'],['purchase_order:20'],,,
120,event:270,2022-04-21T12:36:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:0', 'purchase_order:1']","['goods receipt:8', 'goods receipt:7']",['invoice receipt:6'],['payment:3']
121,event:271,2022-04-21T17:13:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:5'],['goods receipt:12'],,
122,event:272,2022-04-21T19:59:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:4'],['invoice receipt:8'],
123,event:273,2022-04-21T20:01:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:7'],['goods receipt:5'],,
124,event:275,2022-04-22T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:4'],['invoice receipt:8'],
125,event:276,2022-04-22T08:01:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:18:pr_trigger_18'],['quotation:18'],,,,
126,event:279,2022-04-22T09:05:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:15'],['goods receipt:14'],,
127,event:282,2022-04-22T12:42:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:13'],['invoice receipt:11'],
128,event:284,2022-04-22T12:52:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:13'],['invoice receipt:11'],
129,event:285,2022-04-22T20:04:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:14'],['invoice receipt:12'],
130,event:286,2022-04-23T00:10:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:50', 'material:51']",['purchase_requisition:21:pr_trigger_21'],,,,,
131,event:287,2022-04-23T00:41:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:18'],['purchase_order:25'],,,
132,event:288,2022-04-23T05:21:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:17'],['purchase_order:20'],,,
133,event:289,2022-04-23T11:34:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:7'],['purchase_order:14'],,,
134,event:290,2022-04-23T11:44:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:11'],['purchase_order:18'],,,
135,event:291,2022-04-23T16:08:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:5'],['invoice receipt:8'],
136,event:292,2022-04-23T19:10:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:18'],['purchase_order:24'],,,
137,event:293,2022-04-23T21:34:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:13'],['purchase_order:23'],,,
138,event:294,2022-04-24T07:27:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:11'],['invoice receipt:11'],
139,event:295,2022-04-24T12:45:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:13:pr_trigger_13'],['quotation:16'],,,,
140,event:296,2022-04-24T14:34:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:8'],['purchase_order:12'],,,
141,event:297,2022-04-24T14:58:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:9'],['goods receipt:6'],['invoice receipt:4'],['payment:1']
142,event:298,2022-04-24T18:12:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:10'],['purchase_order:17'],,,
143,event:299,2022-04-24T20:32:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:1'],['goods receipt:7'],,
144,event:300,2022-04-25T04:46:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:47', 'material:48', 'material:46']",['purchase_requisition:19:pr_trigger_19'],,,,,
145,event:320,2022-04-25T07:06:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:16'],['purchase_order:26'],,,
146,event:322,2022-04-25T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:14'],['invoice receipt:12'],
147,event:323,2022-04-25T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:11'],['invoice receipt:11'],
148,event:324,2022-04-25T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:5'],['invoice receipt:8'],
149,event:327,2022-04-25T07:14:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:19:pr_trigger_19'],['quotation:19'],,,,
150,event:330,2022-04-25T07:32:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:56', 'material:55']",['purchase_requisition:23:pr_trigger_23'],,,,,
151,event:332,2022-04-25T08:21:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:57'],['purchase_requisition:24:pr_trigger_24'],,,,,
152,event:334,2022-04-25T08:36:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:17'],['goods receipt:21'],,
153,event:336,2022-04-25T12:06:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:21'],['invoice receipt:13'],
154,event:338,2022-04-25T12:16:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:21'],['invoice receipt:13'],
155,event:340,2022-04-25T13:20:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:12'],['invoice receipt:11'],
156,event:342,2022-04-25T13:30:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:12'],['invoice receipt:11'],
157,event:344,2022-04-25T19:02:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:13'],['purchase_order:23'],,,
158,event:345,2022-04-25T20:44:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:52', 'material:54', 'material:53']",['purchase_requisition:22:pr_trigger_22'],,,,,
159,event:346,2022-04-25T21:18:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:19'],['purchase_order:28'],,,
160,event:347,2022-04-25T23:03:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:8', 'purchase_order:7']","['goods receipt:4', 'goods receipt:5']",['invoice receipt:8'],['payment:5']
161,event:348,2022-04-26T03:56:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:21'],['goods receipt:17'],,
162,event:354,2022-04-26T07:44:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:65', 'material:63', 'material:64', 'material:62']",['purchase_requisition:26:pr_trigger_26'],,,,,
163,event:356,2022-04-26T08:48:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:52', 'material:54', 'material:53']",['purchase_requisition:22:pr_trigger_22'],,,,,
164,event:358,2022-04-26T11:51:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:18'],['purchase_order:25'],,,
165,event:359,2022-04-26T14:26:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:22:pr_trigger_22'],['quotation:21'],,,,
166,event:361,2022-04-26T16:39:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,['material:57'],['purchase_requisition:24:pr_trigger_24'],,,,,
167,event:362,2022-04-26T18:23:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:13'],['goods receipt:19'],,
168,event:363,2022-04-26T21:23:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:17'],['goods receipt:21'],['invoice receipt:13'],['payment:6']
169,event:364,2022-04-27T01:46:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:21'],['purchase_order:30'],,,
170,event:370,2022-04-27T08:07:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:17'],['purchase_order:19'],,,
171,event:375,2022-04-27T08:55:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:16'],['purchase_order:26'],,,
172,event:376,2022-04-27T10:20:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:67', 'material:66']",['purchase_requisition:27:pr_trigger_27'],,,,,
173,event:378,2022-04-27T11:55:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:68'],['purchase_requisition:28:pr_trigger_28'],,,,,
174,event:380,2022-04-27T12:26:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:15'],['goods receipt:14'],['invoice receipt:12'],['payment:4']
175,event:381,2022-04-27T12:49:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:50', 'material:51']",['purchase_requisition:21:pr_trigger_21'],,,,,
176,event:383,2022-04-27T13:42:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:70', 'material:71', 'material:69']",['purchase_requisition:29:pr_trigger_29'],,,,,
177,event:385,2022-04-27T16:39:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:19'],['goods receipt:22'],,
178,event:386,2022-04-27T16:52:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:25:pr_trigger_25'],['quotation:20'],,,,
179,event:387,2022-04-27T22:12:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:16'],['purchase_order:27'],,,
180,event:388,2022-04-28T02:22:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:4'],['goods receipt:3'],['invoice receipt:3'],['payment:0']
181,event:389,2022-04-28T03:13:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:18'],['goods receipt:20'],,
182,event:390,2022-04-28T03:46:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:13'],['goods receipt:18'],,
183,event:397,2022-04-28T09:53:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:20'],['invoice receipt:15'],
