,eid,activity,timestamp,CreatedBy,ApprovedBy,PostedBy,ScreenedBy,Outcome,Result,Decision,JobRequisition,HiringManager,Recruiter,Candidate,Assessment,Interviewer
129,E0000130,Create Job Requisition,2024-10-04 12:51:17.823636+00:00,HM014,,,,,,,['JR044'],['HM014'],,,,
130,E0000131,Approve Job Requisition,2024-10-04 13:22:17.823636+00:00,,HR,,,,,,['JR044'],,,,,
131,E0000132,Post Job Opening,2024-10-04 13:39:17.823636+00:00,,,R005,,,,,['JR044'],,['R005'],,,
132,E0000133,Create Job Requisition,2024-10-04 13:39:17.823636+00:00,HM002,,,,,,,['JR045'],['HM002'],,,,
133,E0000134,Approve Job Requisition,2024-10-04 14:18:17.823636+00:00,,HR,,,,,,['JR045'],,,,,
134,E0000135,Post Job Opening,2024-10-04 14:32:17.823636+00:00,,,R006,,,,,['JR045'],,['R006'],,,
135,E0000136,Create Job Requisition,2024-10-04 14:32:17.823636+00:00,HM007,,,,,,,['JR046'],['HM007'],,,,
136,E0000137,Approve Job Requisition,2024-10-04 14:51:17.823636+00:00,,HR,,,,,,['JR046'],,,,,
137,E0000138,Post Job Opening,2024-10-04 15:49:17.823636+00:00,,,R010,,,,,['JR046'],,['R010'],,,
138,E0000139,Create Job Requisition,2024-10-04 15:49:17.823636+00:00,HM017,,,,,,,['JR047'],['HM017'],,,,
139,E0000140,Approve Job Requisition,2024-10-04 16:13:17.823636+00:00,,HR,,,,,,['JR047'],,,,,
140,E0000141,Post Job Opening,2024-10-04 17:06:17.823636+00:00,,,R007,,,,,['JR047'],,['R007'],,,
141,E0000142,Create Job Requisition,2024-10-04 17:06:17.823636+00:00,HM012,,,,,,,['JR048'],['HM012'],,,,
142,E0000143,Approve Job Requisition,2024-10-04 18:02:17.823636+00:00,,HR,,,,,,['JR048'],,,,,
143,E0000144,Post Job Opening,2024-10-04 18:55:17.823636+00:00,,,R002,,,,,['JR048'],,['R002'],,,
144,E0000145,Create Job Requisition,2024-10-04 18:55:17.823636+00:00,HM020,,,,,,,['JR049'],['HM020'],,,,
145,E0000146,Approve Job Requisition,2024-10-04 19:30:17.823636+00:00,,HR,,,,,,['JR049'],,,,,
146,E0000147,Post Job Opening,2024-10-04 20:15:17.823636+00:00,,,R006,,,,,['JR049'],,['R006'],,,
147,E0000148,Create Job Requisition,2024-10-04 20:15:17.823636+00:00,HM016,,,,,,,['JR050'],['HM016'],,,,
148,E0000149,Approve Job Requisition,2024-10-04 20:48:17.823636+00:00,,HR,,,,,,['JR050'],,,,,
149,E0000150,Post Job Opening,2024-10-04 21:03:17.823636+00:00,,,R009,,,,,['JR050'],,['R009'],,,
150,E0000151,Create Job Requisition,2024-10-04 21:03:17.823636+00:00,HM015,,,,,,,['JR051'],['HM015'],,,,
151,E0000152,Approve Job Requisition,2024-10-04 22:03:17.823636+00:00,,HR,,,,,,['JR051'],,,,,
152,E0000153,Post Job Opening,2024-10-04 22:38:17.823636+00:00,,,R007,,,,,['JR051'],,['R007'],,,
153,E0000154,Create Job Requisition,2024-10-04 22:38:17.823636+00:00,HM002,,,,,,,['JR052'],['HM002'],,,,
154,E0000155,Approve Job Requisition,2024-10-04 22:48:17.823636+00:00,,HR,,,,,,['JR052'],,,,,
155,E0000156,Post Job Opening,2024-10-04 23:14:17.823636+00:00,,,R006,,,,,['JR052'],,['R006'],,,
156,E0000157,Create Job Requisition,2024-10-04 23:14:17.823636+00:00,HM007,,,,,,,['JR053'],['HM007'],,,,
157,E0000158,Approve Job Requisition,2024-10-04 23:58:17.823636+00:00,,HR,,,,,,['JR053'],,,,,
158,E0000159,Post Job Opening,2024-10-05 00:15:17.823636+00:00,,,R008,,,,,['JR053'],,['R008'],,,
159,E0000160,Create Job Requisition,2024-10-05 00:15:17.823636+00:00,HM009,,,,,,,['JR054'],['HM009'],,,,
160,E0000161,Approve Job Requisition,2024-10-05 00:54:17.823636+00:00,,HR,,,,,,['JR054'],,,,,
161,E0000162,Post Job Opening,2024-10-05 01:27:17.823636+00:00,,,R009,,,,,['JR054'],,['R009'],,,
162,E0000163,Create Job Requisition,2024-10-05 01:27:17.823636+00:00,HM018,,,,,,,['JR055'],['HM018'],,,,
163,E0000164,Approve Job Requisition,2024-10-05 02:20:17.823636+00:00,,HR,,,,,,['JR055'],,,,,
164,E0000165,Post Job Opening,2024-10-05 03:17:17.823636+00:00,,,R001,,,,,['JR055'],,['R001'],,,
165,E0000166,Create Job Requisition,2024-10-05 03:17:17.823636+00:00,HM005,,,,,,,['JR056'],['HM005'],,,,
166,E0000167,Approve Job Requisition,2024-10-05 04:10:17.823636+00:00,,HR,,,,,,['JR056'],,,,,
167,E0000168,Post Job Opening,2024-10-05 04:36:17.823636+00:00,,,R010,,,,,['JR056'],,['R010'],,,
168,E0000169,Create Job Requisition,2024-10-05 04:36:17.823636+00:00,HM010,,,,,,,['JR057'],['HM010'],,,,
169,E0000170,Approve Job Requisition,2024-10-05 05:23:17.823636+00:00,,HR,,,,,,['JR057'],,,,,
170,E0000171,Post Job Opening,2024-10-05 05:57:17.823636+00:00,,,R002,,,,,['JR057'],,['R002'],,,
171,E0000172,Create Job Requisition,2024-10-05 05:57:17.823636+00:00,HM015,,,,,,,['JR058'],['HM015'],,,,
172,E0000173,Approve Job Requisition,2024-10-05 06:47:17.823636+00:00,,HR,,,,,,['JR058'],,,,,
173,E0000174,Post Job Opening,2024-10-05 07:20:17.823636+00:00,,,R004,,,,,['JR058'],,['R004'],,,
174,E0000175,Create Job Requisition,2024-10-05 07:20:17.823636+00:00,HM016,,,,,,,['JR059'],['HM016'],,,,
175,E0000176,Approve Job Requisition,2024-10-05 07:36:17.823636+00:00,,HR,,,,,,['JR059'],,,,,
176,E0000177,Post Job Opening,2024-10-05 08:29:17.823636+00:00,,,R005,,,,,['JR059'],,['R005'],,,
177,E0000178,Create Job Requisition,2024-10-05 08:29:17.823636+00:00,HM004,,,,,,,['JR060'],['HM004'],,,,
178,E0000179,Approve Job Requisition,2024-10-05 08:53:17.823636+00:00,,HR,,,,,,['JR060'],,,,,
179,E0000180,Post Job Opening,2024-10-05 09:33:17.823636+00:00,,,R004,,,,,['JR060'],,['R004'],,,
180,E0000181,Create Job Requisition,2024-10-05 09:33:17.823636+00:00,HM001,,,,,,,['JR061'],['HM001'],,,,
181,E0000182,Approve Job Requisition,2024-10-05 09:44:17.823636+00:00,,HR,,,,,,['JR061'],,,,,
182,E0000183,Post Job Opening,2024-10-05 10:33:17.823636+00:00,,,R002,,,,,['JR061'],,['R002'],,,
183,E0000184,Create Job Requisition,2024-10-05 10:33:17.823636+00:00,HM020,,,,,,,['JR062'],['HM020'],,,,
184,E0000185,Approve Job Requisition,2024-10-05 11:18:17.823636+00:00,,HR,,,,,,['JR062'],,,,,
185,E0000186,Post Job Opening,2024-10-05 11:48:17.823636+00:00,,,R007,,,,,['JR062'],,['R007'],,,
186,E0000187,Create Job Requisition,2024-10-05 11:48:17.823636+00:00,HM008,,,,,,,['JR063'],['HM008'],,,,
187,E0000188,Approve Job Requisition,2024-10-05 12:37:17.823636+00:00,,HR,,,,,,['JR063'],,,,,
188,E0000189,Post Job Opening,2024-10-05 13:01:17.823636+00:00,,,R002,,,,,['JR063'],,['R002'],,,
189,E0000190,Create Job Requisition,2024-10-05 13:01:17.823636+00:00,HM006,,,,,,,['JR064'],['HM006'],,,,
190,E0000191,Approve Job Requisition,2024-10-05 13:52:17.823636+00:00,,HR,,,,,,['JR064'],,,,,
191,E0000192,Post Job Opening,2024-10-05 14:06:17.823636+00:00,,,R002,,,,,['JR064'],,['R002'],,,
192,E0000193,Create Job Requisition,2024-10-05 14:06:17.823636+00:00,HM010,,,,,,,['JR065'],['HM010'],,,,
193,E0000194,Approve Job Requisition,2024-10-05 14:56:17.823636+00:00,,HR,,,,,,['JR065'],,,,,
194,E0000195,Post Job Opening,2024-10-05 15:35:17.823636+00:00,,,R008,,,,,['JR065'],,['R008'],,,
195,E0000196,Create Job Requisition,2024-10-05 15:35:17.823636+00:00,HM018,,,,,,,['JR066'],['HM018'],,,,
196,E0000197,Approve Job Requisition,2024-10-05 16:29:17.823636+00:00,,HR,,,,,,['JR066'],,,,,
197,E0000198,Post Job Opening,2024-10-05 16:58:17.823636+00:00,,,R003,,,,,['JR066'],,['R003'],,,
198,E0000199,Create Job Requisition,2024-10-05 16:58:17.823636+00:00,HM001,,,,,,,['JR067'],['HM001'],,,,
199,E0000200,Approve Job Requisition,2024-10-05 17:49:17.823636+00:00,,HR,,,,,,['JR067'],,,,,
200,E0000201,Post Job Opening,2024-10-05 18:25:17.823636+00:00,,,R005,,,,,['JR067'],,['R005'],,,
201,E0000202,Create Job Requisition,2024-10-05 18:25:17.823636+00:00,HM018,,,,,,,['JR068'],['HM018'],,,,
202,E0000203,Approve Job Requisition,2024-10-05 18:42:17.823636+00:00,,HR,,,,,,['JR068'],,,,,
203,E0000204,Post Job Opening,2024-10-05 19:00:17.823636+00:00,,,R001,,,,,['JR068'],,['R001'],,,
204,E0000205,Create Job Requisition,2024-10-05 19:00:17.823636+00:00,HM014,,,,,,,['JR069'],['HM014'],,,,
205,E0000206,Approve Job Requisition,2024-10-05 19:12:17.823636+00:00,,HR,,,,,,['JR069'],,,,,
206,E0000207,Post Job Opening,2024-10-05 19:24:17.823636+00:00,,,R001,,,,,['JR069'],,['R001'],,,
207,E0000208,Create Job Requisition,2024-10-05 19:24:17.823636+00:00,HM003,,,,,,,['JR070'],['HM003'],,,,
208,E0000209,Approve Job Requisition,2024-10-05 19:53:17.823636+00:00,,HR,,,,,,['JR070'],,,,,
209,E0000210,Post Job Opening,2024-10-05 20:34:17.823636+00:00,,,R006,,,,,['JR070'],,['R006'],,,
210,E0000211,Create Job Requisition,2024-10-05 20:34:17.823636+00:00,HM008,,,,,,,['JR071'],['HM008'],,,,
211,E0000212,Approve Job Requisition,2024-10-05 20:51:17.823636+00:00,,HR,,,,,,['JR071'],,,,,
212,E0000213,Post Job Opening,2024-10-05 21:07:17.823636+00:00,,,R001,,,,,['JR071'],,['R001'],,,
213,E0000214,Create Job Requisition,2024-10-05 21:07:17.823636+00:00,HM004,,,,,,,['JR072'],['HM004'],,,,
214,E0000215,Approve Job Requisition,2024-10-05 21:32:17.823636+00:00,,HR,,,,,,['JR072'],,,,,
215,E0000216,Post Job Opening,2024-10-05 22:16:17.823636+00:00,,,R005,,,,,['JR072'],,['R005'],,,
216,E0000217,Create Job Requisition,2024-10-05 22:16:17.823636+00:00,HM015,,,,,,,['JR073'],['HM015'],,,,
217,E0000218,Approve Job Requisition,2024-10-05 22:34:17.823636+00:00,,HR,,,,,,['JR073'],,,,,
218,E0000219,Post Job Opening,2024-10-05 23:08:17.823636+00:00,,,R006,,,,,['JR073'],,['R006'],,,
219,E0000220,Create Job Requisition,2024-10-05 23:08:17.823636+00:00,HM004,,,,,,,['JR074'],['HM004'],,,,
220,E0000221,Approve Job Requisition,2024-10-05 23:47:17.823636+00:00,,HR,,,,,,['JR074'],,,,,
221,E0000222,Post Job Opening,2024-10-06 00:20:17.823636+00:00,,,R006,,,,,['JR074'],,['R006'],,,
222,E0000223,Create Job Requisition,2024-10-06 00:20:17.823636+00:00,HM005,,,,,,,['JR075'],['HM005'],,,,
223,E0000224,Approve Job Requisition,2024-10-06 01:12:17.823636+00:00,,HR,,,,,,['JR075'],,,,,
224,E0000225,Post Job Opening,2024-10-06 02:09:17.823636+00:00,,,R007,,,,,['JR075'],,['R007'],,,
225,E0000226,Create Job Requisition,2024-10-06 02:09:17.823636+00:00,HM016,,,,,,,['JR076'],['HM016'],,,,
226,E0000227,Approve Job Requisition,2024-10-06 03:03:17.823636+00:00,,HR,,,,,,['JR076'],,,,,
227,E0000228,Post Job Opening,2024-10-06 03:47:17.823636+00:00,,,R003,,,,,['JR076'],,['R003'],,,
228,E0000229,Create Job Requisition,2024-10-06 03:47:17.823636+00:00,HM010,,,,,,,['JR077'],['HM010'],,,,
229,E0000230,Approve Job Requisition,2024-10-06 04:23:17.823636+00:00,,HR,,,,,,['JR077'],,,,,
230,E0000231,Post Job Opening,2024-10-06 05:10:17.823636+00:00,,,R004,,,,,['JR077'],,['R004'],,,
231,E0000232,Create Job Requisition,2024-10-06 05:10:17.823636+00:00,HM017,,,,,,,['JR078'],['HM017'],,,,
