,eid,timestamp,activity,Customer_Order,Transport_Document,Vehicle,Container
51,create_td6,2023-05-26T14:54:26.000Z,Create Transport Document,['co1'],['td6'],,
52,reg_co9,2023-05-26T15:01:20.000Z,Register Customer Order,['co9'],,,
53,book_vehs_td5,2023-05-26T16:36:27.000Z,Book Vehicles,,['td5'],['vh6'],
54,pick_cr4,2023-05-27T16:23:23.000Z,Pick Up Empty Container,,,,['cr4']
55,collect_hu14,2023-05-27T16:23:23.000Z,Collect Goods,,,,
56,pick_cr7,2023-05-29T02:04:04.000Z,Pick Up Empty Container,,,,['cr7']
57,collect_hu15,2023-05-29T05:27:29.000Z,Collect Goods,,,,
58,collect_hu22,2023-05-29T05:36:19.000Z,Collect Goods,,,,
59,collect_hu20,2023-05-29T05:37:54.000Z,Collect Goods,,,,
60,to_bay_cr3,2023-05-29T05:42:27.000Z,Bring to Loading Bay,,,,['cr3']
61,to_bay_cr2,2023-05-29T05:43:23.000Z,Bring to Loading Bay,,,,['cr2']
62,load_veh_cr3,2023-05-29T05:44:21.000Z,Load to Vehicle,,,['vh1'],['cr3']
63,collect_hu13,2023-05-29T05:46:09.000Z,Collect Goods,,,,
64,collect_hu19,2023-05-29T05:47:50.000Z,Collect Goods,,,,
65,load_veh_cr2,2023-05-29T05:52:41.000Z,Load to Vehicle,,,['vh1'],['cr2']
66,collect_hu18,2023-05-29T05:53:54.000Z,Collect Goods,,,,
67,collect_hu23,2023-05-29T05:55:55.000Z,Collect Goods,,,,
68,collect_hu24,2023-05-29T05:57:29.000Z,Collect Goods,,,,
69,load_truck_hu15,2023-05-29T06:09:00.000Z,Load Truck,,,,['cr4']
70,book_vehs_td6,2023-05-29T06:10:43.000Z,Book Vehicles,,['td6'],"['vh2', 'vh4']",
71,load_truck_hu13,2023-05-29T06:15:42.000Z,Load Truck,,,,['cr4']
72,load_truck_hu18,2023-05-29T06:17:32.000Z,Load Truck,,,,['cr4']
73,load_truck_hu14,2023-05-29T06:21:51.000Z,Load Truck,,,,['cr4']
74,collect_hu21,2023-05-29T07:07:43.000Z,Collect Goods,,,,
75,collect_hu17,2023-05-29T07:11:49.000Z,Collect Goods,,,,
76,load_truck_hu17,2023-05-29T07:12:49.000Z,Load Truck,,,,['cr4']
77,collect_hu16,2023-05-29T07:12:49.000Z,Collect Goods,,,,
78,load_truck_hu16,2023-05-29T07:17:03.000Z,Load Truck,,,,['cr4']
79,load_truck_hu20,2023-05-29T07:28:07.000Z,Load Truck,,,,['cr7']
80,load_truck_hu23,2023-05-29T07:28:42.000Z,Load Truck,,,,['cr7']
81,load_truck_hu19,2023-05-29T07:29:35.000Z,Load Truck,,,,['cr7']
82,load_truck_hu22,2023-05-29T07:30:49.000Z,Load Truck,,,,['cr7']
83,order_crs_td4,2023-05-29T07:32:25.000Z,Order Empty Containers,,['td4'],,"['cr12', 'cr13', 'cr14', 'cr15', 'cr16']"
84,pick_cr14,2023-05-29T07:32:25.000Z,Pick Up Empty Container,,,,['cr14']
85,pick_cr12,2023-05-29T07:32:25.000Z,Pick Up Empty Container,,,,['cr12']
86,pick_cr15,2023-05-29T07:32:25.000Z,Pick Up Empty Container,,,,['cr15']
87,pick_cr16,2023-05-29T07:32:25.000Z,Pick Up Empty Container,,,,['cr16']
88,collect_hu27,2023-05-29T07:32:25.000Z,Collect Goods,,,,
89,collect_hu39,2023-05-29T07:33:00.000Z,Collect Goods,,,,
90,load_truck_hu21,2023-05-29T07:34:38.000Z,Load Truck,,,,['cr7']
91,load_truck_hu24,2023-05-29T07:36:06.000Z,Load Truck,,,,['cr7']
92,collect_hu33,2023-05-29T07:37:23.000Z,Collect Goods,,,,
93,collect_hu31,2023-05-29T07:43:40.000Z,Collect Goods,,,,
94,collect_hu42,2023-05-29T07:45:29.000Z,Collect Goods,,,,
95,drive_term_cr7,2023-05-29T07:50:18.000Z,Drive to Terminal,,,,['cr7']
96,weigh_cr7,2023-05-29T07:51:20.000Z,Weigh,,,,['cr7']
97,stock_cr7,2023-05-29T07:52:14.000Z,Place in Stock,,,,['cr7']
98,collect_hu44,2023-05-29T07:52:32.000Z,Collect Goods,,,,
99,load_truck_hu31,2023-05-29T07:54:16.000Z,Load Truck,,,,['cr12']
100,load_truck_hu42,2023-05-29T07:54:29.000Z,Load Truck,,,,['cr15']
101,load_truck_hu39,2023-05-29T07:54:31.000Z,Load Truck,,,,['cr16']
102,collect_hu37,2023-05-29T07:54:32.000Z,Collect Goods,,,,
103,load_truck_hu27,2023-05-29T07:54:45.000Z,Load Truck,,,,['cr14']
104,load_truck_hu33,2023-05-29T07:55:59.000Z,Load Truck,,,,['cr12']
105,load_truck_hu44,2023-05-29T07:58:16.000Z,Load Truck,,,,['cr15']
106,order_crs_td5,2023-05-29T08:17:08.000Z,Order Empty Containers,,['td5'],,"['cr17', 'cr18', 'cr19', 'cr20']"
107,drive_term_cr4,2023-05-29T08:21:59.000Z,Drive to Terminal,,,,['cr4']
108,weigh_cr4,2023-05-29T08:22:47.000Z,Weigh,,,,['cr4']
109,order_crs_td3,2023-05-29T08:22:58.000Z,Order Empty Containers,,['td3'],,"['cr10', 'cr11', 'cr9']"
110,pick_cr11,2023-05-29T08:22:58.000Z,Pick Up Empty Container,,,,['cr11']
111,pick_cr10,2023-05-29T08:22:58.000Z,Pick Up Empty Container,,,,['cr10']
112,stock_cr4,2023-05-29T08:25:52.000Z,Place in Stock,,,,['cr4']
113,order_crs_td6,2023-05-29T08:53:04.000Z,Order Empty Containers,,['td6'],,"['cr21', 'cr22', 'cr23', 'cr24']"
114,load_truck_hu37,2023-05-29T08:57:15.000Z,Load Truck,,,,['cr16']
115,collect_hu35,2023-05-29T08:57:15.000Z,Collect Goods,,,,
116,load_truck_hu35,2023-05-29T08:58:41.000Z,Load Truck,,,,['cr12']
117,collect_hu29,2023-05-29T08:58:41.000Z,Collect Goods,,,,
118,reg_co10,2023-05-29T09:50:58.000Z,Register Customer Order,['co10'],,,
119,load_truck_hu29,2023-05-29T10:04:39.000Z,Load Truck,,,,['cr14']
120,collect_hu45,2023-05-29T10:04:39.000Z,Collect Goods,,,,
121,load_truck_hu45,2023-05-29T11:10:42.000Z,Load Truck,,,,['cr15']
122,collect_hu36,2023-05-29T11:10:42.000Z,Collect Goods,,,,
123,load_truck_hu36,2023-05-29T11:15:15.000Z,Load Truck,,,,['cr12']
124,collect_hu55,2023-05-29T11:15:15.000Z,Collect Goods,,,,
125,load_truck_hu55,2023-05-29T11:18:51.000Z,Load Truck,,,,['cr10']
126,collect_hu41,2023-05-29T11:18:51.000Z,Collect Goods,,,,
127,load_truck_hu41,2023-05-29T11:26:08.000Z,Load Truck,,,,['cr15']
128,collect_hu26,2023-05-29T11:26:08.000Z,Collect Goods,,,,
129,load_truck_hu26,2023-05-29T11:37:04.000Z,Load Truck,,,,['cr14']
130,collect_hu38,2023-05-29T11:37:04.000Z,Collect Goods,,,,
131,load_truck_hu38,2023-05-29T11:40:07.000Z,Load Truck,,,,['cr16']
132,collect_hu48,2023-05-29T11:40:07.000Z,Collect Goods,,,,
133,load_truck_hu48,2023-05-29T11:41:29.000Z,Load Truck,,,,['cr11']
134,collect_hu53,2023-05-29T11:41:29.000Z,Collect Goods,,,,
135,load_truck_hu53,2023-05-29T11:46:12.000Z,Load Truck,,,,['cr10']
136,collect_hu28,2023-05-29T11:46:12.000Z,Collect Goods,,,,
137,load_truck_hu28,2023-05-29T11:48:06.000Z,Load Truck,,,,['cr14']
138,collect_hu54,2023-05-29T11:48:06.000Z,Collect Goods,,,,
139,load_truck_hu54,2023-05-29T11:49:52.000Z,Load Truck,,,,['cr10']
140,collect_hu25,2023-05-29T11:49:52.000Z,Collect Goods,,,,
141,create_td7,2023-05-29T11:53:07.000Z,Create Transport Document,['co3'],['td7'],,
142,load_truck_hu25,2023-05-29T11:55:51.000Z,Load Truck,,,,['cr14']
143,collect_hu51,2023-05-29T11:55:51.000Z,Collect Goods,,,,
144,load_truck_hu51,2023-05-29T13:01:23.000Z,Load Truck,,,,['cr10']
145,collect_hu49,2023-05-29T13:01:23.000Z,Collect Goods,,,,
146,load_truck_hu49,2023-05-29T13:02:32.000Z,Load Truck,,,,['cr11']
147,collect_hu32,2023-05-29T13:02:32.000Z,Collect Goods,,,,
148,load_truck_hu32,2023-05-29T13:03:08.000Z,Load Truck,,,,['cr12']
149,collect_hu47,2023-05-29T13:03:08.000Z,Collect Goods,,,,
150,load_truck_hu47,2023-05-29T13:06:32.000Z,Load Truck,,,,['cr11']
151,collect_hu40,2023-05-29T13:06:32.000Z,Collect Goods,,,,
152,load_truck_hu40,2023-05-29T13:10:12.000Z,Load Truck,,,,['cr16']
153,collect_hu46,2023-05-29T13:10:12.000Z,Collect Goods,,,,
154,load_truck_hu46,2023-05-29T13:11:53.000Z,Load Truck,,,,['cr15']
155,collect_hu52,2023-05-29T13:11:53.000Z,Collect Goods,,,,
156,load_truck_hu52,2023-05-29T13:14:08.000Z,Load Truck,,,,['cr10']
157,collect_hu34,2023-05-29T13:14:08.000Z,Collect Goods,,,,
158,load_truck_hu34,2023-05-29T13:20:15.000Z,Load Truck,,,,['cr12']
159,collect_hu50,2023-05-29T13:20:15.000Z,Collect Goods,,,,
160,load_truck_hu50,2023-05-29T13:26:12.000Z,Load Truck,,,,['cr10']
161,collect_hu30,2023-05-29T13:26:12.000Z,Collect Goods,,,,
162,load_truck_hu30,2023-05-29T13:30:19.000Z,Load Truck,,,,['cr14']
163,collect_hu43,2023-05-29T13:30:19.000Z,Collect Goods,,,,
164,load_truck_hu43,2023-05-29T13:32:49.000Z,Load Truck,,,,['cr15']
165,drive_term_cr14,2023-05-29T13:43:58.000Z,Drive to Terminal,,,,['cr14']
166,pick_cr5,2023-05-29T13:43:58.000Z,Pick Up Empty Container,,,,['cr5']
167,collect_hu56,2023-05-29T13:43:58.000Z,Collect Goods,,,,
168,collect_hu57,2023-05-29T13:45:13.000Z,Collect Goods,,,,
169,drive_term_cr15,2023-05-29T13:45:21.000Z,Drive to Terminal,,,,['cr15']
170,weigh_cr14,2023-05-29T13:46:58.000Z,Weigh,,,,['cr14']
171,stock_cr14,2023-05-29T13:49:51.000Z,Place in Stock,,,,['cr14']
172,weigh_cr15,2023-05-29T13:49:54.000Z,Weigh,,,,['cr15']
173,stock_cr15,2023-05-29T13:51:24.000Z,Place in Stock,,,,['cr15']
174,drive_term_cr11,2023-05-29T13:55:04.000Z,Drive to Terminal,,,,['cr11']
175,drive_term_cr16,2023-05-29T13:55:04.000Z,Drive to Terminal,,,,['cr16']
176,pick_cr24,2023-05-29T13:55:56.000Z,Pick Up Empty Container,,,,['cr24']
177,collect_hu58,2023-05-29T13:55:56.000Z,Collect Goods,,,,
178,weigh_cr11,2023-05-29T13:56:13.000Z,Weigh,,,,['cr11']
179,stock_cr11,2023-05-29T13:58:49.000Z,Place in Stock,,,,['cr11']
180,weigh_cr16,2023-05-29T13:59:44.000Z,Weigh,,,,['cr16']
181,create_td8,2023-05-29T14:01:39.000Z,Create Transport Document,['co9'],['td8'],,
182,create_td9,2023-05-29T14:18:08.000Z,Create Transport Document,['co4'],['td9'],,
183,book_vehs_td7,2023-05-29T14:23:43.000Z,Book Vehicles,,['td7'],['vh6'],
184,book_vehs_td9,2023-05-29T14:27:06.000Z,Book Vehicles,,['td9'],"['vh2', 'vh3']",
185,drive_term_cr12,2023-05-29T14:30:46.000Z,Drive to Terminal,,,,['cr12']
186,weigh_cr12,2023-05-29T14:35:33.000Z,Weigh,,,,['cr12']
187,stock_cr12,2023-05-29T14:39:34.000Z,Place in Stock,,,,['cr12']
188,drive_term_cr10,2023-05-29T14:47:41.000Z,Drive to Terminal,,,,['cr10']
189,weigh_cr10,2023-05-29T14:48:36.000Z,Weigh,,,,['cr10']
190,stock_cr10,2023-05-29T14:51:50.000Z,Place in Stock,,,,['cr10']
191,load_truck_hu57,2023-05-29T14:52:21.000Z,Load Truck,,,,['cr5']
192,load_truck_hu56,2023-05-29T14:54:58.000Z,Load Truck,,,,['cr5']
193,to_bay_cr16,2023-05-29T15:03:30.000Z,Bring to Loading Bay,,,,['cr16']
194,load_veh_cr16,2023-05-29T15:05:37.000Z,Load to Vehicle,,,['vh1'],['cr16']
195,load_truck_hu58,2023-05-29T15:18:50.000Z,Load Truck,,,,['cr24']
196,reg_co11,2023-05-29T16:06:38.000Z,Register Customer Order,['co11'],,,
197,drive_term_cr5,2023-05-29T16:31:59.000Z,Drive to Terminal,,,,['cr5']
198,weigh_cr5,2023-05-29T16:42:04.000Z,Weigh,,,,['cr5']
199,drive_term_cr24,2023-05-29T16:59:24.000Z,Drive to Terminal,,,,['cr24']
200,pick_cr1,2023-05-29T17:21:01.000Z,Pick Up Empty Container,,,,['cr1']
201,collect_hu60,2023-05-29T17:21:01.000Z,Collect Goods,,,,
202,collect_hu63,2023-05-30T05:28:07.000Z,Collect Goods,,,,
203,collect_hu64,2023-05-30T05:30:06.000Z,Collect Goods,,,,
204,collect_hu61,2023-05-30T05:38:53.000Z,Collect Goods,,,,
205,stock_cr5,2023-05-30T05:42:26.000Z,Place in Stock,,,,['cr5']
206,book_vehs_td8,2023-05-30T05:46:23.000Z,Book Vehicles,,['td8'],['vh8'],
207,collect_hu62,2023-05-30T05:49:33.000Z,Collect Goods,,,,
208,load_truck_hu63,2023-05-30T06:00:42.000Z,Load Truck,,,,['cr1']
209,weigh_cr24,2023-05-30T06:01:40.000Z,Weigh,,,,['cr24']
210,load_truck_hu64,2023-05-30T06:01:58.000Z,Load Truck,,,,['cr1']
211,load_truck_hu61,2023-05-30T06:03:08.000Z,Load Truck,,,,['cr1']
212,load_truck_hu60,2023-05-30T06:06:34.000Z,Load Truck,,,,['cr1']
213,pick_cr21,2023-05-30T06:08:03.000Z,Pick Up Empty Container,,,,['cr21']
214,stock_cr24,2023-05-30T06:08:04.000Z,Place in Stock,,,,['cr24']
215,load_truck_hu62,2023-05-30T06:51:24.000Z,Load Truck,,,,['cr1']
216,collect_hu59,2023-05-30T06:51:24.000Z,Collect Goods,,,,
217,load_truck_hu59,2023-05-30T06:54:17.000Z,Load Truck,,,,['cr1']
218,collect_hu66,2023-05-30T06:54:17.000Z,Collect Goods,,,,
219,order_crs_td7,2023-05-30T07:53:03.000Z,Order Empty Containers,,['td7'],,"['cr25', 'cr26', 'cr27']"
220,load_truck_hu66,2023-05-30T07:56:53.000Z,Load Truck,,,,['cr21']
221,collect_hu70,2023-05-30T07:56:53.000Z,Collect Goods,,,,
222,order_crs_td9,2023-05-30T07:58:06.000Z,Order Empty Containers,,['td9'],,"['cr31', 'cr32', 'cr33', 'cr34']"
223,pick_cr33,2023-05-30T07:58:06.000Z,Pick Up Empty Container,,,,['cr33']
224,create_td10,2023-05-30T08:39:18.000Z,Create Transport Document,['co10'],['td10'],,
225,drive_term_cr1,2023-05-30T08:58:48.000Z,Drive to Terminal,,,,['cr1']
226,weigh_cr1,2023-05-30T08:59:37.000Z,Weigh,,,,['cr1']
227,depart_vh1,2023-05-30T09:00:00.000Z,Depart,,"['td1', 'td4']",['vh1'],"['cr16', 'cr2', 'cr3']"
228,load_truck_hu70,2023-05-30T09:01:36.000Z,Load Truck,,,,['cr21']
229,collect_hu65,2023-05-30T09:01:36.000Z,Collect Goods,,,,
230,collect_hu67,2023-05-30T09:03:09.000Z,Collect Goods,,,,
231,collect_hu75,2023-05-30T09:03:46.000Z,Collect Goods,,,,
232,load_truck_hu65,2023-05-30T09:05:32.000Z,Load Truck,,,,['cr21']
233,load_truck_hu67,2023-05-30T09:09:00.000Z,Load Truck,,,,['cr21']
234,collect_hu68,2023-05-30T09:10:45.000Z,Collect Goods,,,,
235,load_truck_hu68,2023-05-30T09:12:58.000Z,Load Truck,,,,['cr21']
236,collect_hu73,2023-05-30T09:12:58.000Z,Collect Goods,,,,
237,collect_hu74,2023-05-30T09:15:00.000Z,Collect Goods,,,,
238,load_truck_hu75,2023-05-30T09:15:57.000Z,Load Truck,,,,['cr33']
239,load_truck_hu73,2023-05-30T09:19:11.000Z,Load Truck,,,,['cr33']
240,load_truck_hu74,2023-05-30T09:21:46.000Z,Load Truck,,,,['cr33']
241,collect_hu76,2023-05-30T09:21:46.000Z,Collect Goods,,,,
242,collect_hu69,2023-05-30T09:22:25.000Z,Collect Goods,,,,
243,load_truck_hu76,2023-05-30T09:25:32.000Z,Load Truck,,,,['cr33']
244,load_truck_hu69,2023-05-30T09:27:48.000Z,Load Truck,,,,['cr21']
245,collect_hu71,2023-05-30T09:27:48.000Z,Collect Goods,,,,
246,order_crs_td8,2023-05-30T09:27:52.000Z,Order Empty Containers,,['td8'],,"['cr28', 'cr29', 'cr30']"
247,load_truck_hu71,2023-05-30T09:29:32.000Z,Load Truck,,,,['cr33']
248,collect_hu72,2023-05-30T09:29:32.000Z,Collect Goods,,,,
249,load_truck_hu72,2023-05-30T09:32:31.000Z,Load Truck,,,,['cr33']
250,drive_term_cr21,2023-05-30T09:38:23.000Z,Drive to Terminal,,,,['cr21']
251,weigh_cr21,2023-05-30T09:44:14.000Z,Weigh,,,,['cr21']
252,drive_term_cr33,2023-05-30T09:44:49.000Z,Drive to Terminal,,,,['cr33']
253,stock_cr21,2023-05-30T09:45:33.000Z,Place in Stock,,,,['cr21']
254,weigh_cr33,2023-05-30T09:46:20.000Z,Weigh,,,,['cr33']
255,book_vehs_td10,2023-05-30T09:49:14.000Z,Book Vehicles,,['td10'],['vh5'],
256,stock_cr33,2023-05-30T09:51:06.000Z,Place in Stock,,,,['cr33']
257,stock_cr1,2023-05-30T10:02:07.000Z,Place in Stock,,,,['cr1']
258,reg_co12,2023-05-30T10:07:58.000Z,Register Customer Order,['co12'],,,
259,pick_cr28,2023-05-30T14:20:33.000Z,Pick Up Empty Container,,,,['cr28']
260,collect_hu78,2023-05-30T14:20:33.000Z,Collect Goods,,,,
261,collect_hu77,2023-05-30T14:22:20.000Z,Collect Goods,,,,
262,order_crs_td10,2023-05-30T14:22:28.000Z,Order Empty Containers,,['td10'],,"['cr35', 'cr36', 'cr37', 'cr38', 'cr39']"
263,collect_hu82,2023-05-30T14:29:02.000Z,Collect Goods,,,,
264,collect_hu80,2023-05-30T14:33:48.000Z,Collect Goods,,,,
265,collect_hu81,2023-05-30T14:35:37.000Z,Collect Goods,,,,
266,collect_hu79,2023-05-30T14:37:31.000Z,Collect Goods,,,,
267,load_truck_hu81,2023-05-30T14:45:17.000Z,Load Truck,,,,['cr28']
268,load_truck_hu77,2023-05-30T14:49:25.000Z,Load Truck,,,,['cr28']
269,load_truck_hu79,2023-05-30T14:54:06.000Z,Load Truck,,,,['cr28']
270,load_truck_hu82,2023-05-30T14:57:33.000Z,Load Truck,,,,['cr28']
271,load_truck_hu78,2023-05-30T14:59:54.000Z,Load Truck,,,,['cr28']
272,pick_cr35,2023-05-30T15:31:41.000Z,Pick Up Empty Container,,,,['cr35']
273,collect_hu88,2023-05-30T15:31:41.000Z,Collect Goods,,,,
274,reg_co13,2023-05-30T15:40:38.000Z,Register Customer Order,['co13'],,,
275,collect_hu84,2023-05-30T15:56:17.000Z,Collect Goods,,,,
276,load_truck_hu80,2023-05-30T16:10:00.000Z,Load Truck,,,,['cr28']
277,pick_cr26,2023-05-30T16:28:08.000Z,Pick Up Empty Container,,,,['cr26']
278,collect_hu93,2023-05-30T17:11:32.000Z,Collect Goods,,,,
279,pick_cr29,2023-05-30T19:59:08.000Z,Pick Up Empty Container,,,,['cr29']
280,collect_hu100,2023-05-31T05:25:28.000Z,Collect Goods,,,,
281,collect_hu83,2023-05-31T05:31:42.000Z,Collect Goods,,,,
282,collect_hu91,2023-05-31T05:36:05.000Z,Collect Goods,,,,
283,collect_hu87,2023-05-31T05:38:07.000Z,Collect Goods,,,,
284,load_truck_hu84,2023-05-31T05:42:34.000Z,Load Truck,,,,['cr35']
285,load_truck_hu88,2023-05-31T05:44:21.000Z,Load Truck,,,,['cr35']
286,collect_hu97,2023-05-31T05:45:43.000Z,Collect Goods,,,,
287,load_truck_hu83,2023-05-31T05:46:32.000Z,Load Truck,,,,['cr35']
288,load_truck_hu87,2023-05-31T05:50:34.000Z,Load Truck,,,,['cr35']
289,collect_hu89,2023-05-31T05:53:45.000Z,Collect Goods,,,,
290,collect_hu99,2023-05-31T05:55:32.000Z,Collect Goods,,,,
291,load_truck_hu91,2023-05-31T06:01:22.000Z,Load Truck,,,,['cr26']
292,load_truck_hu89,2023-05-31T06:02:55.000Z,Load Truck,,,,['cr26']
293,load_truck_hu93,2023-05-31T06:10:22.000Z,Load Truck,,,,['cr26']
294,pick_cr32,2023-05-31T06:15:10.000Z,Pick Up Empty Container,,,,['cr32']
295,load_truck_hu97,2023-05-31T06:39:03.000Z,Load Truck,,,,['cr29']
296,load_truck_hu100,2023-05-31T06:40:15.000Z,Load Truck,,,,['cr29']
297,load_truck_hu99,2023-05-31T07:04:08.000Z,Load Truck,,,,['cr29']
298,collect_hu95,2023-05-31T07:04:08.000Z,Collect Goods,,,,
299,load_truck_hu95,2023-05-31T07:05:54.000Z,Load Truck,,,,['cr29']
300,collect_hu105,2023-05-31T07:05:54.000Z,Collect Goods,,,,
301,load_truck_hu105,2023-05-31T07:07:26.000Z,Load Truck,,,,['cr32']
302,collect_hu102,2023-05-31T07:07:26.000Z,Collect Goods,,,,
303,collect_hu94,2023-05-31T07:09:00.000Z,Collect Goods,,,,
304,load_truck_hu102,2023-05-31T07:09:03.000Z,Load Truck,,,,['cr32']
305,load_truck_hu94,2023-05-31T07:13:23.000Z,Load Truck,,,,['cr26']
306,collect_hu104,2023-05-31T07:13:23.000Z,Collect Goods,,,,
307,load_truck_hu104,2023-05-31T07:16:22.000Z,Load Truck,,,,['cr32']
308,collect_hu85,2023-05-31T07:16:22.000Z,Collect Goods,,,,
309,drive_term_cr28,2023-05-31T07:18:30.000Z,Drive to Terminal,,,,['cr28']
310,load_truck_hu85,2023-05-31T07:19:39.000Z,Load Truck,,,,['cr35']
311,collect_hu101,2023-05-31T07:19:39.000Z,Collect Goods,,,,
312,load_truck_hu101,2023-05-31T07:20:23.000Z,Load Truck,,,,['cr32']
313,collect_hu103,2023-05-31T07:20:23.000Z,Collect Goods,,,,
314,weigh_cr28,2023-05-31T07:20:32.000Z,Weigh,,,,['cr28']
315,load_truck_hu103,2023-05-31T07:22:34.000Z,Load Truck,,,,['cr32']
316,collect_hu98,2023-05-31T07:22:34.000Z,Collect Goods,,,,
317,load_truck_hu98,2023-05-31T07:24:18.000Z,Load Truck,,,,['cr29']
318,collect_hu92,2023-05-31T07:24:18.000Z,Collect Goods,,,,
319,stock_cr28,2023-05-31T07:24:38.000Z,Place in Stock,,,,['cr28']
320,load_truck_hu92,2023-05-31T07:31:25.000Z,Load Truck,,,,['cr26']
321,collect_hu90,2023-05-31T07:31:25.000Z,Collect Goods,,,,
322,collect_hu106,2023-05-31T07:33:26.000Z,Collect Goods,,,,
323,load_truck_hu90,2023-05-31T07:36:00.000Z,Load Truck,,,,['cr26']
324,load_truck_hu106,2023-05-31T07:36:26.000Z,Load Truck,,,,['cr32']
325,collect_hu86,2023-05-31T07:36:26.000Z,Collect Goods,,,,
326,load_truck_hu86,2023-05-31T07:40:05.000Z,Load Truck,,,,['cr35']
327,collect_hu96,2023-05-31T07:40:05.000Z,Collect Goods,,,,
